,Number of Topics,Coherence Score
0,4,0.2893098599448814
1,5,0.2924606387593035
2,6,0.3621837484266875
3,7,0.36254836117784894
4,8,0.38962775028847374
5,9,0.3757382032748813
6,10,0.41623598153478625
7,11,0.4790762398739408
8,12,0.4570222728421888
9,13,0.506718042019566
10,14,0.5100772717113723
11,15,0.4837852248694792
12,16,0.5167332482494958
13,17,0.5226719300481855
14,18,0.41133208285731593
15,19,0.40920766199505404
16,20,0.4091806182324313
