,index,dissatisfaction_reason,Quarter,Submitted date,"What was the main purpose of your visit today? Please choose one option only. The list represents broad categories, and you may be asked to further specify the main reason why you visited today.",Approximately how often do you visit My Account?,Overall how satisfied were you with today's experience?,Which option did you choose to login to My Account?,Did/do you need to call the CRA to complete your visit/transaction today?,Are you:,I live in...,What is the highest level of education you have completed?,Would you be willing to indicate in which of the following age categories you belong?,What language do you speak most often at home?,Which of the following categories best describes your current employment status?,"Which of the following categories best represents your most recent annual household income, before taxes?",Are you an Aboriginal person?,Are you a person with a disability?,Are you a member of a visible minority group?,From what type of device did you access My Account today?,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Topic_final,Second_Topic,Third_Topic
2367,38394,there was a pop that said to verify by by email all I had to do was phone and could never get through and was disconected,Q2,8/22/2018,Your personal information,This was my first visit,Somewhat dissatisfied,Don't know,Yes,Male,Manitoba,College/vocational/technical school,55 to 64,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,Yes,No,Desktop or laptop computer,13.0,0.2143000066280365,"time, say, log, page, error, assessment, ask, work, add, thing","['pop', 'say', 'verify', 'email', 'phone', 'disconnect']",13.0,3.0,4.0
2368,38399,"I have been waiting for over 11 mths for my 2016 re-assesment. CRA has given multiple dates by which it would be completed, and yet I wait. I am dissatisfied with CRA communication and follow-through",Q2,8/22/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Manitoba,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,4.0,0.3070000112056732,"information, account, date, look, available, access, wait, tell, instalment, get","['wait', 'myth', 'assessment', 'give', 'multiple', 'date', 'complete', 'wait', 'dissatisfied', 'communication', 'follow']",4.0,13.0,5.0
2369,38403,"I an email notice. Which I had to find, once found, I wanted to print it for my records, and there is NO way to print it without printing the entire web page, which took extra sheets of paper, wastefu",Q2,8/22/2018,Online mail,Once every 2 to 3 months,Very dissatisfied,,No,Prefer not to say,Prefer not to say,Some high school,55 to 64,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,13.0,0.33809998631477356,"time, say, log, page, error, assessment, ask, work, add, thing","['email', 'notice', 'find', 'find', 'wanted', 'print', 'record', 'way', 'print', 'print', 'entire', 'web', 'page', 'take', 'extra', 'sheet', 'paper', 'wasteful']",13.0,5.0,3.0
2370,38406,because as usual cra made a mistake and as usual is taking a while to correct it,Q2,8/22/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Female,Prince Edward Island,College/vocational/technical school,55 to 64,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.6905999779701233,"find, tax, change, return, mail, try, month, send, need, year","['usual', 'mistake', 'usual', 'taking', 'correct']",5.0,1.0,2.0
2371,38419,wanted to know if the return had been dealt with..it still hasnt after several months even though the site said only a few weeks,Q2,8/22/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,British Columbia,College/vocational/technical school,55 to 64,English,Working part-time (less than 35 hours per week),"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,5.0,0.383899986743927,"find, tax, change, return, mail, try, month, send, need, year","['want', 'know', 'return', 'deal', 'month', 'site', 'say', 'week']",5.0,8.0,13.0
2372,38445,"I have submitted for a reassessment back on March 21, 2018. This is a one line change for 2016. This has not been completed but no where on the website does it say if its being worked on.",Q2,8/22/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Female,Alberta,College/vocational/technical school,18 to 34,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,3.0,0.34130001068115234,"receive, document, site, submit, reassessment, login, email, go, option, letter","['submit', 'reassessment', 'march', 'line', 'change', 'complete', 'website', 'work']",3.0,5.0,13.0
2373,38494,I receive an email to check my account and I have no idea what the content is saying... no further ahead than I was when I started.  Government language is not good for average people.,Q2,8/22/2018,Accounts and payments,Once or twice per year,Very dissatisfied,,Yes,Female,Alberta,Post-graduate degree,65 or older,English,Retired,Prefer not to say,No,No,No,Tablet,3.0,0.2590000033378601,"receive, document, site, submit, reassessment, login, email, go, option, letter","['receive', 'email', 'check', 'account', 'idea', 'content', 'say', 'ahead', 'start', 'government', 'language', 'good', 'average', 'people']",3.0,13.0,0.0
2374,38496,I wasn't able to increase my tax deductions on my CPP payments on line.,Q2,8/22/2018,Other,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Ontario,College/vocational/technical school,65 or older,English,Retired,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,5.0,0.511900007724762,"find, tax, change, return, mail, try, month, send, need, year","['able', 'increase', 'tax', 'deduction', 'pension_plan', 'payment', 'line']",5.0,3.0,8.0
2375,38504,I was trying to attempt to get a copy of my spuse's 2017 Notice of Assessment but it kept referring me back to my account.  Could not register for an account for my spouse.  I have an authorinzation,Q2,8/22/2018,Tax returns,Prefer not to say,Very dissatisfied,,No,Male,British Columbia,College/vocational/technical school,65 or older,English,Retired,"$120,000 and over",No,No,Yes,Desktop or laptop computer,5.0,0.3700999915599823,"find, tax, change, return, mail, try, month, send, need, year","['try', 'attempt', 'copy', 'spouse', 'notice_assessment', 'keep', 'refer', 'account', 'register', 'account', 'spouse', 'authorization']",5.0,13.0,4.0
2376,38508,Information what I'm looking for was not there,Q2,8/22/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Yes,Female,British Columbia,Some university,35 to 49,Other,Working part-time (less than 35 hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,4.0,0.690500020980835,"information, account, date, look, available, access, wait, tell, instalment, get","['information', 'look']",4.0,0.0,1.0
2377,38515,"submitted all the documents requested, still it says 2017 tax is in process, sometimes crediting account sometimes asking for payments. Credit only what is supposed to be please to avoid this hassle",Q2,8/22/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,Yes,Female,Alberta,University graduate,18 to 34,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,13.0,0.2363000065088272,"time, say, log, page, error, assessment, ask, work, add, thing","['submit', 'document', 'request', 'say', 'tax', 'process', 'credit', 'account', 'ask', 'payment', 'credit', 'suppose', 'avoid', 'hassle']",13.0,8.0,3.0
2378,38523,documents sent to confirm education deductions was denied and am still not sure why - explanation was vague and I have to follow up,Q2,8/22/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,Yes,Male,British Columbia,College/vocational/technical school,55 to 64,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,3.0,0.6341999769210815,"receive, document, site, submit, reassessment, login, email, go, option, letter","['document', 'send', 'confirm', 'education', 'deduction', 'deny', 'sure', 'explanation', 'vague', 'follow']",3.0,5.0,8.0
2379,38533,Still not Finished !!!!!!,Q2,8/22/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Prefer not to say,Male,Ontario,High school graduate,55 to 64,English,Not in the workforce,"Under $20,000",No,Yes,No,Desktop or laptop computer,5.0,0.5357000231742859,"find, tax, change, return, mail, try, month, send, need, year",['finish'],5.0,0.0,1.0
2380,38536,the review is taking too long and i am provided with no status information.,Q2,8/22/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Male,British Columbia,University graduate,50 to 54,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,3.0,0.3452000021934509,"receive, document, site, submit, reassessment, login, email, go, option, letter","['review', 'taking_long', 'provide', 'status', 'information']",3.0,4.0,0.0
2381,38543,"I would like to be able to access/confirm upload of documents through ""submit documents"" area.",Q2,8/22/2018,Other,Once per month or more,Somewhat dissatisfied,,Yes,Female,Alberta,Some high school,18 to 34,English,Self-employed,"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.3452000021934509,"find, tax, change, return, mail, try, month, send, need, year","['able', 'access', 'confirm', 'upload_documents', 'submit_documents', 'area']",5.0,13.0,4.0
2382,38552,I stiil have not Idea whenI am getting my gst from Aprill 2018,Q2,8/22/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,No,Male,Ontario,College/vocational/technical school,55 to 64,English,Other,"Under $20,000",No,Yes,No,Desktop or laptop computer,13.0,0.614300012588501,"time, say, log, page, error, assessment, ask, work, add, thing","['idea', 'get', 'gst', 'april']",13.0,4.0,0.0
2383,38553,There is no way of telling whether my submitted documents have been received.,Q2,8/22/2018,Other,Once or twice per year,Very dissatisfied,,Yes,Male,Saskatchewan,Post-graduate degree,50 to 54,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,3.0,0.511900007724762,"receive, document, site, submit, reassessment, login, email, go, option, letter","['way', 'tell', 'submit', 'document', 'receive']",3.0,4.0,0.0
2384,38568,I only wish there was more detail regarding re-assessments. One of my returns is perpetually in re-assessment. It's stressful!,Q2,8/23/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,British Columbia,Post-graduate degree,18 to 34,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,13.0,0.34529998898506165,"time, say, log, page, error, assessment, ask, work, add, thing","['wish', 'detail', 'assessment', 'return', 'perpetually', 'assessment', 'stressful']",13.0,5.0,4.0
2385,38586,i couldnt find out if they completed reviewing my spouses income tax to adjust my child tax,Q2,8/23/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,Prefer not to say,Female,British Columbia,Some university,35 to 49,English,Working part-time (less than 35 hours per week),"$20,000 to under $40,000",No,Yes,Yes,Smartphone,5.0,0.7857000231742859,"find, tax, change, return, mail, try, month, send, need, year","['find', 'complete', 'review', 'spouse', 'income', 'tax', 'adjust', 'child', 'tax']",5.0,3.0,
2386,38614,It is taking several months to process something that should take a few hours,Q2,8/23/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Prefer not to say,Nova Scotia,College/vocational/technical school,50 to 54,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",Yes,Yes,Prefer not to say,Desktop or laptop computer,5.0,0.614300012588501,"find, tax, change, return, mail, try, month, send, need, year","['take', 'month', 'process', 'hour']",5.0,8.0,0.0
2387,38621,"still no communication regarding my account.  My return has been processing since March 1, 2018",Q2,8/23/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Male,I currently live outside of Canada,University graduate,55 to 64,English,Self-employed,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,5.0,0.511900007724762,"find, tax, change, return, mail, try, month, send, need, year","['communication', 'account', 'return', 'processing', 'march']",5.0,4.0,8.0
2388,38647,"I find your site is not the easiest to navigate and often your PDF forms don't work.  And it's not the adobe instalment, it is your site.  Five different computers cannot all be wrong.",Q2,8/23/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Alberta,University graduate,35 to 49,English,Self-employed,"$20,000 to under $40,000",No,No,Yes,Desktop or laptop computer,3.0,0.2363000065088272,"receive, document, site, submit, reassessment, login, email, go, option, letter","['find', 'site', 'easy', 'navigate', 'pdf', 'form', 'work', 'adobe', 'instalment', 'site', 'different', 'computer', 'wrong']",3.0,4.0,10.0
2389,38663,"I wanted to find out if an email I received telling me CRA wanted to send me $458 was legit. It asked me to click on ""Deposit Your Money"". I did not because I was unsure it came from CRA . Did it?",Q2,8/23/2018,Online mail,Once every 2 to 3 months,Very dissatisfied,,No,Male,Alberta,College/vocational/technical school,65 or older,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,8.0,0.3131999969482422,"update, payment, pay, online, credit, want, balance, check, owe, show","['want', 'find', 'email', 'receive', 'tell', 'want', 'send', 'legit', 'ask', 'click', 'deposit', 'money', 'unsure', 'come']",8.0,5.0,3.0
2390,38666,The information I was looking for had not been updated.,Q2,8/23/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Yes,Female,Manitoba,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Smartphone,4.0,0.5178999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['information', 'look', 'update']",4.0,8.0,0.0
