,index,dissatisfaction_reason,Quarter,Submitted date,"What was the main purpose of your visit today? Please choose one option only. The list represents broad categories, and you may be asked to further specify the main reason why you visited today.",Approximately how often do you visit My Account?,Overall how satisfied were you with today's experience?,Which option did you choose to login to My Account?,Did/do you need to call the CRA to complete your visit/transaction today?,Are you:,I live in...,What is the highest level of education you have completed?,Would you be willing to indicate in which of the following age categories you belong?,What language do you speak most often at home?,Which of the following categories best describes your current employment status?,"Which of the following categories best represents your most recent annual household income, before taxes?",Are you an Aboriginal person?,Are you a person with a disability?,Are you a member of a visible minority group?,From what type of device did you access My Account today?,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Topic_final,Second_Topic,Third_Topic
0,17,"couldn't find my gst assessment  it logged me out/timed out during setup/printed a blank page/says only ONE page to be printed, printed 3 pages  2 were BLANK with just URL",Q4,1/4/2018,"Proof of income statement (option ""C"" print)",This was my first visit,Very dissatisfied,CRA user ID and password,Yes,Male,Alberta,Some university,50 to 54,English,Other,"$20,000 to under $40,000",No,Yes,No,Desktop or laptop computer,13.0,0.8517000079154968,"time, say, log, page, error, assessment, ask, work, add, thing","['find', 'gst', 'assessment', 'log', 'time', 'setup', 'print', 'blank', 'page', 'say', 'page', 'print', 'print', 'page', 'blank', 'urls']",13.0,5.0,
1,36,more dissatisfied by the cra and the time table for my reassesment of my 2016 taxes,Q4,1/4/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,High school graduate,35 to 49,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,13.0,0.2143000066280365,"time, say, log, page, error, assessment, ask, work, add, thing","['dissatisfied', 'time', 'table', 'reassessment', 'taxis']",13.0,3.0,4.0
2,56,"This site is not user friendly at all, specially for people, who are not accustomed to the use of computer.",Q4,1/5/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,Ontario,Prefer not to say,Prefer not to say,Other,Prefer not to say,Prefer not to say,No,Prefer not to say,Yes,Desktop or laptop computer,3.0,0.4165000021457672,"receive, document, site, submit, reassessment, login, email, go, option, letter","['site', 'user_friendly', 'specially', 'people', 'accustomed', 'use', 'computer']",3.0,0.0,10.0
3,58,The option to login on the canada.ca site feels hidden,Q4,1/5/2018,Online mail,Once or twice per year,Somewhat dissatisfied,,No,Male,New Brunswick,High school graduate,18 to 34,English,Working full-time (35+ hours per week),"Under $20,000",No,No,No,Smartphone,3.0,0.8144000172615051,"receive, document, site, submit, reassessment, login, email, go, option, letter","['option', 'login', 'canada', 'site', 'feel', 'hide']",3.0,1.0,2.0
4,72,"could not access my spouse (my wife account) yet I am her representative, We are living in Czech republic not easy to reach by the phone (expensive)",Q4,1/5/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,No,Male,I currently live outside of Canada,College/vocational/technical school,65 or older,Other,Retired,"$40,000 to under $60,000",No,Yes,No,Desktop or laptop computer,4.0,0.6340000033378601,"information, account, date, look, available, access, wait, tell, instalment, get","['access', 'spouse', 'wife', 'account', 'representative', 'living', 'czech', 'republic', 'easy', 'reach', 'phone', 'expensive']",4.0,5.0,
5,85,TFSA contribution amount 2018 is not updated yet.,Q4,1/5/2018,RRSP and TFSA,Once or twice per year,Somewhat dissatisfied,,No,Male,Ontario,Some university,55 to 64,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,8.0,0.5358999967575073,"update, payment, pay, online, credit, want, balance, check, owe, show","['tfsa_contribution', 'update']",8.0,1.0,2.0
6,116,Didn’t really get an answer,Q4,1/5/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Yes,Female,Manitoba,College/vocational/technical school,35 to 49,English,Not in the workforce,"Under $20,000",No,Yes,No,Smartphone,0.0,0.5357000231742859,"answer, question, unclear, issue, people, security_question, taking_long, mark, little, room",['answer'],0.0,1.0,2.0
7,120,No explanation as to when I will receive my refund from a reassessment of med exp & no contact # to enquire,Q4,1/5/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,Yes,Female,Alberta,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,3.0,0.845300018787384,"receive, document, site, submit, reassessment, login, email, go, option, letter","['explanation', 'receive', 'refund', 'reassessment', 'med', 'exp', 'contact', 'enquire']",3.0,1.0,2.0
8,129,I mailed my 2015 tax return 2.5 months ago and I am unable to confirm receipt nor find out it's processing status,Q4,1/5/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Female,Saskatchewan,University graduate,55 to 64,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,5.0,0.8246999979019165,"find, tax, change, return, mail, try, month, send, need, year","['mail', 'tax', 'return', 'months_ago', 'unable', 'confirm', 'receipt', 'find', 'processing', 'status']",5.0,3.0,
9,139,Je reçois une lettre qui me donne des renseignements qui ne semblent pas nécessaire parce que mon compte ouvre sans que les renseignements aient été captés!,Q4,1/5/2018,Your personal information,Once or twice per year,Somewhat dissatisfied,,Prefer not to say,Male,Quebec,University graduate,65 or older,French,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,10.0,0.7279000282287598,"agent, navigate, cumbersome, search, confusing, totally, suppose, computer, que, path","['regis', 'letter', 'que', 'donne', 'de', 'reassignments', 'que', 'select', 'pas', 'necessary', 'pace', 'que', 'mon', 'compete', 'louvre', 'sans', 'que', 'les', 'reassignments', 'agent', 'cat']",10.0,3.0,1.0
10,149,my account balance for taxes owing was unavailable,Q4,1/5/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,Yes,Male,Manitoba,Some high school,18 to 34,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,Prefer not to say,Desktop or laptop computer,8.0,0.3452000021934509,"update, payment, pay, online, credit, want, balance, check, owe, show","['account', 'balance', 'taxis', 'owe', 'unavailable']",8.0,4.0,13.0
11,156,The system was down so I was unable to proceed with the required banking changes that I wished to make and will have to wait 3 days.,Q4,1/5/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,British Columbia,College/vocational/technical school,55 to 64,English,Retired,"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,5.0,0.6747000217437744,"find, tax, change, return, mail, try, month, send, need, year","['system', 'unable', 'proceed', 'require', 'banking', 'change', 'wish', 'wait', 'day']",5.0,4.0,8.0
12,169,the system maintenance is going on could not get information,Q4,1/5/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,No,Female,Ontario,Post-graduate degree,35 to 49,English,Working part-time (less than 35 hours per week),"Under $20,000",No,No,Prefer not to say,Desktop or laptop computer,3.0,0.2678999900817871,"receive, document, site, submit, reassessment, login, email, go, option, letter","['system', 'maintenance', 'go', 'information']",3.0,4.0,5.0
13,178,Reports filed 9 months ago are missing,Q4,1/5/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,Prefer not to say,Male,Ontario,Post-graduate degree,35 to 49,English,Self-employed,"$120,000 and over",No,No,Yes,Desktop or laptop computer,5.0,0.5178999900817871,"find, tax, change, return, mail, try, month, send, need, year","['report', 'file', 'months_ago', 'miss']",5.0,4.0,1.0
14,187,The EI benefits  page didnt work,Q4,1/5/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,No,Male,Alberta,High school graduate,18 to 34,Other,"Unemployed, but looking for work","$20,000 to under $40,000",No,No,No,Tablet,13.0,0.5178999900817871,"time, say, log, page, error, assessment, ask, work, add, thing","['employment_insurance', 'benefit', 'page', 'work']",13.0,3.0,1.0
15,189,Couldn't submit new income number yesterday or today,Q4,1/6/2018,RRSP and TFSA,Once every 2 to 3 months,Very dissatisfied,,No,Male,Alberta,College/vocational/technical school,55 to 64,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,3.0,0.2143000066280365,"receive, document, site, submit, reassessment, login, email, go, option, letter","['submit', 'new', 'income', 'number', 'yesterday_today']",3.0,8.0,4.0
16,209,I have been trying to change my marital status for months. It was under review. I have sent in extra documentation. Still nothing is changed. I can’t change it online now because it’s been reviewed.,Q4,1/6/2018,Your personal information,Once per month or more,Very dissatisfied,,Yes,Female,Saskatchewan,University graduate,35 to 49,English,Working part-time (less than 35 hours per week),"$40,000 to under $60,000",No,No,No,Smartphone,5.0,0.5896000266075134,"find, tax, change, return, mail, try, month, send, need, year","['try', 'change', 'marital_status', 'month', 'review', 'send', 'extra', 'documentation', 'change', 'change', 'online', 'review']",5.0,3.0,8.0
17,272,The questions marks for sum of the Dates and the 2014 Credits,Q4,1/6/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,No,Female,Alberta,Some high school,55 to 64,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,0.0,0.4146000146865845,"answer, question, unclear, issue, people, security_question, taking_long, mark, little, room","['question', 'mark', 'sum', 'date', 'credit']",0.0,8.0,4.0
18,319,Canot access information needed - blank page,Q4,1/6/2018,Accounts and payments,Once per month or more,Very dissatisfied,,No,Female,British Columbia,University graduate,65 or older,English,Working part-time (less than 35 hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,4.0,0.41429999470710754,"information, account, date, look, available, access, wait, tell, instalment, get","['canon', 'access', 'information', 'need', 'blank', 'page']",4.0,13.0,5.0
19,345,I did not have access to the information I was looking for.,Q4,1/7/2018,Benefits and tax credits information,Once every 2 to 3 months,Somewhat dissatisfied,,Prefer not to say,Male,Quebec,College/vocational/technical school,65 or older,English,Retired,"$20,000 to under $40,000",No,Yes,No,Desktop or laptop computer,4.0,0.7678999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['access', 'information', 'look']",4.0,0.0,1.0
20,363,System maintenance prevented fulfillment of all purposes for visit.,Q4,1/7/2018,RRSP and TFSA,Once or twice per year,Somewhat dissatisfied,,No,Male,Ontario,College/vocational/technical school,18 to 34,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,5.0,0.5360000133514404,"find, tax, change, return, mail, try, month, send, need, year","['system', 'maintenance', 'prevent', 'fulfilment', 'purpose', 'visit']",5.0,1.0,2.0
21,393,I found out that my claim was reasessed and checked my email as soon as I was notified.  I know owe but also have an interest charge that I am questioning.,Q4,1/7/2018,Online mail,Once or twice per year,Somewhat dissatisfied,,Yes,Prefer not to say,Nova Scotia,Prefer not to say,Prefer not to say,English,"Unemployed, but looking for work",Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,8.0,0.3700999915599823,"update, payment, pay, online, credit, want, balance, check, owe, show","['find', 'claim', 'reassess', 'check', 'email', 'soon', 'notify', 'know', 'owe', 'interest', 'charge', 'question']",8.0,5.0,0.0
22,419,Pages not loading any content. Blank white pages instead of information.,Q4,1/7/2018,RRSP and TFSA,Once or twice per year,Very dissatisfied,,No,Male,New Brunswick,College/vocational/technical school,18 to 34,English,Self-employed,"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,13.0,0.41440001130104065,"time, say, log, page, error, assessment, ask, work, add, thing","['page', 'load', 'content', 'blank', 'white', 'page', 'instead', 'information']",13.0,3.0,4.0
23,485,I understand that i owe money due to overpayment on E.I. i just find it unreasonable that they have to snatch up what little money i receive since being disabled !fix the broken welfare system,Q4,1/8/2018,Other,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Male,New Brunswick,College/vocational/technical school,50 to 54,English,Other,"Under $20,000",No,Yes,Prefer not to say,Desktop or laptop computer,8.0,0.34119999408721924,"update, payment, pay, online, credit, want, balance, check, owe, show","['understand', 'owe_money', 'overpayment', 'find', 'unreasonable', 'snatch', 'little', 'money', 'receive', 'disabled', 'fix', 'broken', 'welfare', 'system']",8.0,5.0,0.0
24,486,Was looking for TFSA contribution room. Information provided is not current. TFASA contrubution made in is March 2017 was not reflected in the contribution room.,Q4,1/8/2018,RRSP and TFSA,Once or twice per year,Somewhat dissatisfied,,No,Male,Ontario,Post-graduate degree,55 to 64,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,Yes,Desktop or laptop computer,4.0,0.5636000037193298,"information, account, date, look, available, access, wait, tell, instalment, get","['look', 'tfsa_contribution_room', 'information', 'provide', 'current', 'fast', 'contribution', 'march', 'reflect', 'contribution_room']",4.0,3.0,8.0
25,487,Nothing is updated even after 6 months of return of payments. Still it shows balances that I cleared 6 months ago.,Q4,1/8/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,Yes,Female,Manitoba,High school graduate,18 to 34,Other,Working part-time (less than 35 hours per week),"Under $20,000",No,No,Yes,Desktop or laptop computer,8.0,0.45239999890327454,"update, payment, pay, online, credit, want, balance, check, owe, show","['update', 'month', 'return', 'payment', 'show', 'balance', 'clear', 'months_ago']",8.0,5.0,3.0
26,509,the fact that i could access my cpp info from my account for individuals was not made clear anywhere i looked,Q4,1/8/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Ontario,College/vocational/technical school,50 to 54,English,Not in the workforce,Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.5090000033378601,"information, account, date, look, available, access, wait, tell, instalment, get","['fact', 'access', 'pension_plan', 'information', 'account', 'individual', 'clear', 'look']",4.0,5.0,3.0
27,545,Account statement blocked.  Have been complaining about this for months and the issue has been escalated to the Minister's office.  Edward Gessner from Ministerial Correspondence is trying to resolve.,Q4,1/8/2018,Accounts and payments,Once per month or more,Very dissatisfied,,No,Male,Ontario,University graduate,55 to 64,English,Self-employed,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,5.0,0.3411000072956085,"find, tax, change, return, mail, try, month, send, need, year","['account', 'statement', 'block', 'complaint', 'month', 'issue', 'escalate', 'minister', 'office', 'edward', 'less', 'ministerial', 'correspondence', 'try', 'resolve']",5.0,4.0,0.0
28,549,I was unable to find the documents I need,Q4,1/8/2018,Other,Once per month or more,Very dissatisfied,,Yes,Female,British Columbia,College/vocational/technical school,50 to 54,English,Working full-time (35+ hours per week),Prefer not to say,No,No,Yes,Desktop or laptop computer,5.0,0.614300012588501,"find, tax, change, return, mail, try, month, send, need, year","['unable', 'find', 'document', 'need']",5.0,3.0,0.0
29,585,No info regarding carbon tax rebate,Q4,1/8/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,No,Female,Alberta,High school graduate,18 to 34,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Tablet,4.0,0.3571999967098236,"information, account, date, look, available, access, wait, tell, instalment, get","['information', 'carbon', 'tax', 'rebate']",4.0,5.0,1.0
30,588,Taking to long to update disability tax credit,Q4,1/9/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Female,Alberta,High school graduate,35 to 49,English,Not in the workforce,"$40,000 to under $60,000",No,Yes,No,Smartphone,8.0,0.511900007724762,"update, payment, pay, online, credit, want, balance, check, owe, show","['taking_long', 'update', 'disability', 'tax', 'credit']",8.0,5.0,0.0
31,592,Unable to see my account contributions over the year.,Q4,1/9/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,No,Male,British Columbia,Post-graduate degree,65 or older,English,Working part-time (less than 35 hours per week),"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,5.0,0.5178999900817871,"find, tax, change, return, mail, try, month, send, need, year","['unable', 'account', 'contributions', 'year']",5.0,4.0,1.0
32,633,Lack of information as to payment status,Q4,1/9/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Yes,Male,Manitoba,University graduate,50 to 54,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",Prefer not to say,Prefer not to say,Prefer not to say,Smartphone,4.0,0.2921999990940094,"information, account, date, look, available, access, wait, tell, instalment, get","['lack', 'information', 'payment', 'status']",4.0,8.0,5.0
33,638,It is very perplexing that I can not also access the accounts of the corporation(s) for which I have authority,Q4,1/9/2018,Other,Once or twice per year,Somewhat dissatisfied,,No,Male,Ontario,University graduate,65 or older,English,Self-employed,"$120,000 and over",No,No,No,Desktop or laptop computer,4.0,0.6905999779701233,"information, account, date, look, available, access, wait, tell, instalment, get","['perplex', 'access', 'account', 'corporation', 'authority']",4.0,1.0,2.0
34,646,"I have requested a change in my return about a month ago,I have not seen the changes yet.I have more changes to make and cannot until this done.It is taken a very long time.",Q4,1/9/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Female,Ontario,High school graduate,50 to 54,English,Not in the workforce,"$20,000 to under $40,000",No,Yes,No,Desktop or laptop computer,5.0,0.7071999907493591,"find, tax, change, return, mail, try, month, send, need, year","['requested', 'change', 'return', 'month_ago', 'see', 'change', 'change', 'take', 'long', 'time']",5.0,13.0,8.0
35,652,I want to know how autofill for income tax forms works and what I have to do to use autofill.  I found nothing about autofill at all.,Q4,1/9/2018,Tax returns,Once or twice per year,Very dissatisfied,,Prefer not to say,Female,Ontario,University graduate,Prefer not to say,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,5.0,0.633899986743927,"find, tax, change, return, mail, try, month, send, need, year","['know', 'tutorial', 'income', 'tax', 'form', 'work', 'use', 'tutorial', 'find', 'tutorial']",5.0,13.0,3.0
36,691,tecknowledge today allows the gov. & bus. to have T4A T4AP slips etc. ready for citizens as of January 8 why the delay,Q4,1/9/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Ontario,College/vocational/technical school,65 or older,English,Retired,"$20,000 to under $40,000",No,No,Yes,Desktop or laptop computer,13.0,0.2962999939918518,"time, say, log, page, error, assessment, ask, work, add, thing","['acknowledge', 'today', 'allow', 'gov', 'bus', 'tap', 'slip', 'etc', 'ready', 'citizens', 'january', 'delay']",13.0,3.0,8.0
37,708,"TFSA contribution room is not up to date, easy for tax payer to make mistakes. Website is slow. Information is poorly organized, almost missed what I was looking for.",Q4,1/9/2018,RRSP and TFSA,Once or twice per year,Somewhat dissatisfied,,No,Male,Saskatchewan,Some university,18 to 34,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,4.0,0.7071999907493591,"information, account, date, look, available, access, wait, tell, instalment, get","['tfsa_contribution_room', 'date', 'easy', 'tax', 'payer', 'mistake', 'website', 'slow', 'information', 'poorly', 'organize', 'miss', 'look']",4.0,5.0,
38,743,"my gst and hst for 2009,2010 and 2011 were NOT refunded back to me still as of todays date",Q4,1/10/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,No,Male,Ontario,Prefer not to say,55 to 64,English,Other,"Under $20,000",No,Yes,Yes,Desktop or laptop computer,13.0,0.26809999346733093,"time, say, log, page, error, assessment, ask, work, add, thing","['gst_hst', '2009,2010', 'refunded', 'today', 'date']",13.0,4.0,3.0
39,748,On here it shows no updates since Dec 7 but when I called 18002676999 it says I should have already received my refunds  .....,Q4,1/10/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Ontario,College/vocational/technical school,50 to 54,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Smartphone,3.0,0.34529998898506165,"receive, document, site, submit, reassessment, login, email, go, option, letter","['shows', 'update', 'dec', 'called', 'say', 'receive', 'refund']",3.0,8.0,13.0
40,755,There is no way that we could send a secure email/Message to CRA via My account.,Q4,1/10/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Prefer not to say,Male,New Brunswick,University graduate,35 to 49,English,Working full-time (35+ hours per week),Prefer not to say,No,No,Prefer not to say,Desktop or laptop computer,4.0,0.511900007724762,"information, account, date, look, available, access, wait, tell, instalment, get","['way', 'send', 'secure', 'email', 'message', 'account']",4.0,3.0,5.0
41,774,you said you cannot calculate previous world income but there is no instruction to verify my previous world income.,Q4,1/10/2018,Online mail,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Male,Ontario,University graduate,18 to 34,Other,Working full-time (35+ hours per week),"Under $20,000",No,No,No,Desktop or laptop computer,5.0,0.758899986743927,"find, tax, change, return, mail, try, month, send, need, year","['say', 'calculate', 'previous', 'world', 'income', 'instruction', 'verify', 'previous', 'world', 'income']",5.0,13.0,
42,783,I received a deposit into my banking account identified as provincial government payment but cannot find an explanation for the deposit.,Q4,1/10/2018,Benefits and tax credits information,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Alberta,University graduate,35 to 49,English,Prefer not to say,Prefer not to say,No,Yes,Prefer not to say,Desktop or laptop computer,5.0,0.34119999408721924,"find, tax, change, return, mail, try, month, send, need, year","['receive', 'deposit', 'banking', 'account', 'identify', 'provincial', 'government', 'payment', 'find', 'explanation', 'deposit']",5.0,3.0,8.0
43,784,Was trying to change line 318; unable to do so since system says you don't have form 2201.  Form 2201 under my dependent sent and notice of determination received in November.,Q4,1/10/2018,Tax returns,Once or twice per year,Very dissatisfied,,Yes,Female,Quebec,University graduate,55 to 64,Other,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,5.0,0.5439000129699707,"find, tax, change, return, mail, try, month, send, need, year","['try', 'change', 'line', 'unable', 'system', 'say', 'form', 'form', 'dependent', 'send', 'notice', 'determination', 'receive', 'november']",5.0,3.0,13.0
44,791,I wanted to see what I owed and see my payments but it would not let me in. I have an error code ACC-010. When I called CRA I wasn't allowed to talk to anyone,Q4,1/10/2018,Accounts and payments,Once or twice per year,Very dissatisfied,,Yes,Female,Alberta,Prefer not to say,55 to 64,English,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,8.0,0.6746000051498413,"update, payment, pay, online, credit, want, balance, check, owe, show","['want', 'owe', 'payment', 'let', 'error_code', 'call', 'allow', 'talk']",8.0,13.0,
45,792,Not enough up to date information about stage of re-assessment reviews.I had to phone in to get info and was told to wait another 3 to 4 weeks and the person I spoke to didn't have the all documents,Q4,1/10/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,Yes,Male,Ontario,College/vocational/technical school,55 to 64,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,4.0,0.46709999442100525,"information, account, date, look, available, access, wait, tell, instalment, get","['date', 'information', 'stage', 'assessment', 'review', 'phone', 'information', 'tell', 'wait', 'week', 'person', 'speak', 'document']",4.0,3.0,13.0
46,795,Unable to set up a payment for an amount owing.  Completed bank info yesterday wouldn't let me pay then.Thought it may need a day to set up.Logged in today & still unable to make payment.,Q4,1/10/2018,Accounts and payments,Once or twice per year,Very dissatisfied,,Yes,Female,British Columbia,Some university,55 to 64,English,Retired,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,5.0,0.3571000099182129,"find, tax, change, return, mail, try, month, send, need, year","['unable', 'set', 'payment', 'owing', 'complete', 'bank', 'information', 'yesterday', 'let', 'pay', 'thought', 'need', 'day', 'set', 'log', 'today', 'unable', 'payment']",5.0,13.0,8.0
47,804,It’s been over 3 maths since I filed 2016 return without any finalization to date and no explanation of where process is at,Q4,1/10/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Male,Prince Edward Island,University graduate,50 to 54,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.511900007724762,"find, tax, change, return, mail, try, month, send, need, year","['math', 'file', 'return', 'finalization', 'date', 'explanation', 'process']",5.0,4.0,3.0
48,825,Could not access 2018  periodic Installments,Q4,1/10/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Quebec,University graduate,65 or older,English,Retired,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,4.0,0.690500020980835,"information, account, date, look, available, access, wait, tell, instalment, get","['access', 'periodic', 'instalment']",4.0,1.0,2.0
49,828,I have been sending all the information I can get about my children and I to prove I have had them since the day they were born. I have and have yet to receive any benefits and or credits for them.,Q4,1/10/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,Prefer not to say,Female,Alberta,Some high school,18 to 34,English,A student attending school full-time,Prefer not to say,Yes,No,No,Prefer not to say,5.0,0.511900007724762,"find, tax, change, return, mail, try, month, send, need, year","['send', 'information', 'child', 'prove', 'day', 'bear', 'receive', 'benefits_credit']",5.0,3.0,4.0
50,835,Unable to get the information need. Very frustrated as unable to get through on the phone either,Q4,1/10/2018,Other,Once or twice per year,Very dissatisfied,,Yes,Female,British Columbia,College/vocational/technical school,35 to 49,English,Other,Prefer not to say,Prefer not to say,No,No,Desktop or laptop computer,5.0,0.511900007724762,"find, tax, change, return, mail, try, month, send, need, year","['unable', 'information', 'need', 'frustrate', 'unable', 'phone']",5.0,4.0,0.0
51,863,"ACC 003 what is that code mean to find out, i have to call, so why i have my account bcoz i dont have time to call.",Q4,1/10/2018,Accounts and payments,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,British Columbia,College/vocational/technical school,18 to 34,Other,Working full-time (35+ hours per week),"Under $20,000",No,No,No,Desktop or laptop computer,13.0,0.43869999051094055,"time, say, log, page, error, assessment, ask, work, add, thing","['acc', 'code', 'mean', 'find', 'account', 'coz', 'time']",13.0,5.0,4.0
52,867,Couldnt find option to change password and couldnt print PDF of NOA from NOA page.,Q4,1/10/2018,Tax returns,Once or twice per year,Very dissatisfied,,No,Prefer not to say,Ontario,College/vocational/technical school,18 to 34,English,Working full-time (35+ hours per week),Prefer not to say,No,No,Yes,Desktop or laptop computer,13.0,0.6746000051498413,"time, say, log, page, error, assessment, ask, work, add, thing","['find', 'option', 'change_password', 'print', 'pdf', 'notice_assessment', 'notice_assessment', 'page']",13.0,5.0,3.0
53,873,I have no indication as to why I was reassessed for $600 more than ten months after I submit my return. No reason is given and that is an unreasonable amount of time to determine a reassessment.,Q4,1/11/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,British Columbia,Post-graduate degree,18 to 34,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,5.0,0.45239999890327454,"find, tax, change, return, mail, try, month, send, need, year","['indication', 'pass', 'month', 'submit', 'return', 'reason_given', 'unreasonable', 'time', 'determine', 'reassessment']",5.0,3.0,13.0
54,905,Unable to print 2016 Tax assessment,Q4,1/11/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,Prefer not to say,Prefer not to say,Nova Scotia,University graduate,50 to 54,English,Self-employed,"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,5.0,0.41429999470710754,"find, tax, change, return, mail, try, month, send, need, year","['unable', 'print', 'tax', 'assessment']",5.0,13.0,0.0
55,927,Account Balance page didn't work got an ACC-03 error,Q4,1/11/2018,Accounts and payments,Once per month or more,Very dissatisfied,,Yes,Male,British Columbia,University graduate,55 to 64,English,Self-employed,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,13.0,0.383899986743927,"time, say, log, page, error, assessment, ask, work, add, thing","['account', 'balance', 'page', 'work', 'get', 'access', 'error']",13.0,4.0,8.0
56,929,"Too slow to access. When I finally got to VIEW TAX RETURN, nothing appeared. I waited 3 minutes and signed off to try again.",Q4,1/11/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,Ontario,College/vocational/technical school,55 to 64,English,Retired,"$120,000 and over",No,No,No,Desktop or laptop computer,4.0,0.5059999823570251,"information, account, date, look, available, access, wait, tell, instalment, get","['slow', 'access', 'finally', 'get', 'view', 'tax', 'return', 'appear', 'wait', 'minute', 'sign', 'try']",4.0,5.0,13.0
57,949,Wasn't able to get the update I was looking for.,Q4,1/11/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,Ontario,University graduate,55 to 64,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,8.0,0.2678999900817871,"update, payment, pay, online, credit, want, balance, check, owe, show","['able', 'update', 'look']",8.0,4.0,5.0
