,Number of Topics,Coherence Score
0,4,0.334153555805459
1,5,0.33902075277144056
2,6,0.3167393600035619
3,7,0.32380460447585996
4,8,0.3364556600358358
5,9,0.3317008145006713
6,10,0.3331032889855594
7,11,0.2918448687115492
8,12,0.38230762180726
9,13,0.3301900609896261
10,14,0.3073073267828644
11,15,0.31521151613988885
12,16,0.31945941521962706
13,17,0.3262270832696008
14,18,0.28606572512127937
15,19,0.3345987509104359
16,20,0.3098505414473869
