,Number of Topics,Coherence Score
0,3,0.5749715046450512
1,4,0.5342320043091722
2,5,0.5148107804871865
3,6,0.5180082585306578
4,7,0.4608182898960269
5,8,0.4475101227211471
6,9,0.45268855296789823
7,10,0.4152024027826958
